day	hour	value
1	1	109
1	2	109
1	3	109
1	4	109
1	5	109
1	6	64
1	7	64
1	8	64
1	9	64
1	10	64
1	11	36
1	12	36
1	13	36
1	14	25
1	15	25
1	16	25
1	17	56
1	18	56
1	19	56
1	20	56
1	21	57
1	22	57
1	23	57
1	24	109
2	1	104
2	2	104
2	3	104
2	4	104
2	5	104
2	6	79
2	7	79
2	8	79
2	9	79
2	10	79
2	11	44
2	12	44
2	13	44
2	14	34
2	15	34
2	16	34
2	17	60
2	18	60
2	19	60
2	20	60
2	21	56
2	22	56
2	23	56
2	24	104
3	1	114
3	2	114
3	3	114
3	4	114
3	5	114
3	6	78
3	7	78
3	8	78
3	9	78
3	10	78
3	11	47
3	12	47
3	13	47
3	14	45
3	15	45
3	16	45
3	17	71
3	18	71
3	19	71
3	20	71
3	21	64
3	22	64
3	23	64
3	24	114
4	1	118
4	2	118
4	3	118
4	4	118
4	5	118
4	6	69
4	7	69
4	8	69
4	9	69
4	10	69
4	11	29
4	12	29
4	13	29
4	14	26
4	15	26
4	16	26
4	17	56
4	18	56
4	19	56
4	20	56
4	21	54
4	22	54
4	23	54
4	24	118
5	1	126
5	2	126
5	3	126
5	4	126
5	5	126
5	6	69
5	7	69
5	8	69
5	9	69
5	10	69
5	11	31
5	12	31
5	13	31
5	14	24
5	15	24
5	16	24
5	17	54
5	18	54
5	19	54
5	20	54
5	21	55
5	22	55
5	23	55
5	24	126
6	1	122
6	2	122
6	3	122
6	4	122
6	5	122
6	6	97
6	7	97
6	8	97
6	9	97
6	10	97
6	11	65
6	12	65
6	13	65
6	14	64
6	15	64
6	16	64
6	17	86
6	18	86
6	19	86
6	20	86
6	21	64
6	22	64
6	23	64
6	24	122
7	1	137
7	2	137
7	3	137
7	4	137
7	5	137
7	6	99
7	7	99
7	8	99
7	9	99
7	10	99
7	11	63
7	12	63
7	13	63
7	14	66
7	15	66
7	16	66
7	17	71
7	18	71
7	19	71
7	20	71
7	21	52
7	22	52
7	23	52
7	24	137
