day	hour	value
1	1	118
1	2	118
1	3	118
1	4	118
1	5	118
1	6	83
1	7	83
1	8	83
1	9	83
1	10	83
1	11	56
1	12	56
1	13	56
1	14	60
1	15	60
1	16	60
1	17	79
1	18	79
1	19	79
1	20	79
1	21	55
1	22	55
1	23	55
1	24	118
2	1	115
2	2	115
2	3	115
2	4	115
2	5	115
2	6	81
2	7	81
2	8	81
2	9	81
2	10	81
2	11	58
2	12	58
2	13	58
2	14	62
2	15	62
2	16	62
2	17	83
2	18	83
2	19	83
2	20	83
2	21	57
2	22	57
2	23	57
2	24	115
3	1	118
3	2	118
3	3	118
3	4	118
3	5	118
3	6	80
3	7	80
3	8	80
3	9	80
3	10	80
3	11	55
3	12	55
3	13	55
3	14	61
3	15	61
3	16	61
3	17	83
3	18	83
3	19	83
3	20	83
3	21	59
3	22	59
3	23	59
3	24	118
4	1	126
4	2	126
4	3	126
4	4	126
4	5	126
4	6	73
4	7	73
4	8	73
4	9	73
4	10	73
4	11	48
4	12	48
4	13	48
4	14	56
4	15	56
4	16	56
4	17	79
4	18	79
4	19	79
4	20	79
4	21	56
4	22	56
4	23	56
4	24	126
5	1	120
5	2	120
5	3	120
5	4	120
5	5	120
5	6	71
5	7	71
5	8	71
5	9	71
5	10	71
5	11	45
5	12	45
5	13	45
5	14	55
5	15	55
5	16	55
5	17	79
5	18	79
5	19	79
5	20	79
5	21	58
5	22	58
5	23	58
5	24	120
6	1	122
6	2	122
6	3	122
6	4	122
6	5	122
6	6	83
6	7	83
6	8	83
6	9	83
6	10	83
6	11	58
6	12	58
6	13	58
6	14	62
6	15	62
6	16	62
6	17	83
6	18	83
6	19	83
6	20	83
6	21	59
6	22	59
6	23	59
6	24	122
7	1	136
7	2	136
7	3	136
7	4	136
7	5	136
7	6	94
7	7	94
7	8	94
7	9	94
7	10	94
7	11	56
7	12	56
7	13	56
7	14	58
7	15	58
7	16	58
7	17	82
7	18	82
7	19	82
7	20	82
7	21	57
7	22	57
7	23	57
7	24	136
